SP_slope,LIR_slope,KR_slope,LS_slope,Industry,Code
0.006448083171503444,0.013611539419303204,0.00010576644658166861,-0.0005787416595119106,Real estate,5310
0.0030874274826464656,0.03798929949947364,0.6789195777835658,-0.0009870146135055502,Rental and leasing services and lessors of intangible assets,5320
0.034162507603521096,0.0879434092916787,0.02818250204693828,-0.009734290471491732,Legal services,5411
0.011252083087342575,0.07112141694036113,0.038384131620494484,-0.0012576700538764738,"Miscellaneous professional, scientific, and technical services",5412
0.00783745754023533,0.07887659155571308,0.042147899983305474,-0.005161654483779407,Computer systems design and related services,5415
0.01144125962920576,0.011405180299219041,0.003417873997701895,-0.0006715341223079882,Management of companies and enterprises,5500
,,0.061438337898866185,-0.0024009605784144866,Administrative and support services,5610
0.019205555830643973,0.04755441557409506,0.017376244902115347,-0.0024213348541835774,Waste management and remediation services,5620
0.0006810415273291758,0.04145802108539264,0.0029513887076431217,-0.004363091034287113,Educational services,6100
0.011595038696109535,0.019695934936172534,0.031189194968010668,-0.003524936070821814,Ambulatory health care services,6210
0.009352662830311418,0.021559260760176863,0.011908893869074793,-0.001698987410468314,Hospitals and nursing and residential care facilities,"622H, 6230"
0.007333409597312309,0.015177311165764009,0.008812469133255016,0.0004898317999913838,Social assistance,6240
0.008514470136538763,0.0286500912582976,0.009674550696470361,-0.00825881472283264,"Performing arts, spectator sports, museums, and related activities",711A
0.011005072472499773,0.005838735745044651,0.002991692016566994,-0.0051690904543385124,Accommodation,7210
-0.0010095734508264187,0.002536293758440377,0.011427872690991525,-0.0013868032619079363,Food services and drinking places,7220
5.162803600332272e-05,0.003195374163249448,0.005132401086674515,0.0034696509942847087,"Other services, except government",8100
